key,name,type,grade,district,around,estate,property ,float,chance,description
1,,house,1,中心区,地铁房,不好,老公房,1,1,买个老公房，等着拆迁
2,,house,1,中心区,学区房,不好,老公房,1,1,先在孩子上学伤不起啊，买个学区房，肯定大赚。面积也不用很大，容易脱手
3,,house,1,郊区,,非常好,电梯公寓,1,1,中国进入老年人社会，有很多老人会往郊区搬的
4,,house,2,次中心,CBD区房,一般,电梯公寓,1,1,CBD的房子，升值空间巨大
5,,house,3,城郊结合部,景观房,好,,0.8,1,有钱人追求安静和高品质环境，这种房子不愁卖不掉
6,,house,2,城郊结合部,科技园区房,非常好,,1,1,依托科技园区的大量就业人口，房子肯定好租
7,,house,2,城郊结合部,工业区房,一般,,1,1,依托工业区的大量就业人口，房子肯定好租
8,,house,1,郊区,地铁房,好,电梯公寓,1,1,本市人口越来越多，好地段的房子越来越少，郊区的房子肯定也会涨上去的。只要有地铁。
9,,house,2,中心区,,非常好,,1,1,看上了一个中心城区的一套房子，物业管理又好，房子肯定有升值空间
10,,house,2,郊区,,一般,拆迁房,0.8,1,有个拆迁房急售，这样的投资机会我可不会错过
11,,shop,1,中心区,地铁房,,,1,1,中心城区小商铺，又靠近地铁，人流量大，租金肯定不错
12,,shop,2,次中心,CBD区房,,,1,1,CBD的商铺，升值空间巨大
13,,shop,3,郊区,科技园区房,,,1,1,郊区的商铺，价格便宜，升值潜力大
14,,shop,3,郊区,科技园区房,,,1,1,郊区的商铺，价格便宜，升值潜力大
