key,name,tag,level,frequence,mode,first,month,period,description,arg1,op1,value1,arg2,op2,value2,out
1,地震捐款,charity,basic,60,normal,1000,0,0,国内文三发生8.0级大地震，死伤无数，悲天恸地，献一点爱心。愿逝者安息，生者坚强。,,,,,,,
2,救助贫困生,charity,dispensable,60,cashflow,2000,300,144,看到CCAV报道一平困学生，父母双亡，仍坚持求学，还要照顾年迈的爷爷奶奶，感动了。决定供他读书一直到高中毕业,step ,> ,36,cash,>,2000,
3,扶倒地阿婆,charity,basic,60,normal,2000,0,0,看到一阿婆下公交时没踩稳，倒地不起。马上上前扶起，结果她到赖是我把他带倒的，要我赔医药费。这是什么世道啊。也没有路人帮我作证，只好认倒霉。不过这种人毕竟少数，下次我还是要助人为乐。,,,,,,,
4,民间保钓,spirit,basic,360,normal,5000,0,0,参与民间保钓活动，花这个钱值。,cash,>,5000,,,,
5,发票丢失,company,dispensable,60,normal,2500,0,0,你因公出差，由于发票丢失，你的坑爹公司不给报销,,,,,,,
6,还助学贷款,education,basic,360,normal,20000,0,0,助学贷款一直没还，好不容易手头上有点积蓄，马上给还掉,pay_kid,>,0,,,,
7,考驾照,education,basic,360,normal,8000,0,0,本市对外籍户口考驾照做了限制，导致报名费激增，再不学就不知道涨到什么时候去了。真后悔没有在读大学的时候把驾照考到，那时只要2000元啊。,cash,>,8000,,,,
8,看话剧,entertainment,basic,12,normal,100,0,0,看话剧《两条狗对生活的意见》，孟京辉的新戏，太搞笑了,,,,,,,
9,看话剧,entertainment,basic,12,normal,500,0,0,看话剧《暗恋桃花源》，终于买到票了,,,,,,,
10,看话剧,entertainment,basic,12,normal,1500,0,0,看话剧《活着》，圆圈和黄柏的号召力真大啊，票都炒翻了,,,,,,,
11,看演唱会,entertainment,basic,12,normal,400,0,0,"看朴树和张悬演唱会,朴树竟然忘词了，赚到了。",,,,,,,
12,看演唱会,entertainment,dispensable,12,normal,1000,0,0,看张杰伦的演唱会，一起哼哼哈嘿,,,,,,,
13,看演唱会,entertainment,luxury,12,normal,2000,0,0,看席琳迪翁演唱会，竟然唱茉莉花，爽,,,,,,,
14,赞助,entertainment,dispensable,360,normal,50000,0,0,世界杰出华商协会打电话给我，说我被评为本年度杰出华商，要给我颁奖。我一高兴出了赞助费。后来发现，哎。。。,cash,>,50000,,,,
15,看车展,entertainment,basic,24,normal,200,0,0,一年一度的车展，我来了，看美女啊，看大腿...,,,,,,,
16,看ChinaJoy,entertainment,basic,24,normal,200,0,0,一年一度的ChinaJoy，我来了，看美女啊，看大腿...,,,,,,,
17,看书展,entertainment,basic,24,normal,20,0,0,一年一度的书展，我来了，不过买书的时候总是很兴奋，看书的时候总是很纠结。,,,,,,,
18,看双年展,entertainment,basic,48,normal,50,0,0,两年一度的双年展，我来了，装装文艺青年,,,,,,,
19,钢琴培训,family,dispensable,360,cashflow,0,500,36,虽然我不是张杰伦？但我的小孩可以成为张周杰，于是找老师每个星期给他上钢琴课。,pay_kid,>,0,,,,
20,过节送礼,family,basic,12,normal,500,0,0,过节给奶奶送礼，可是奶奶就喜欢“脑白银”，只有买这个,,,,,,,
21,海外游学,family,dispensable,36,normal,10000,0,0,孩子放暑假，老师要他们参加海外游学，为了让孩子能早见世面，给。,pay_kid,>,0,cash,>,10000,
22,交借读费,family,dispensable,360,normal,10000,0,0,小孩要上学了，又不是本市户口，只好交一大笔借读费。还差点没交上去。,pay_kid,>,0,cash,>,10000,
23,交借读费,family,dispensable,360,normal,20000,0,0,哎，对小孩学习的关心不够，小升初没有考好，为了弥补自己的过失，咬咬牙，花钱给小孩择学校。不能输在起跑线上啊。,pay_kid,>,0,cash,>,20000,
24,结婚摆酒,family,dispensable,360,normal,20000,0,0,老婆催着结婚，实在躲不过，只好照办。可惜又在上海办酒，亏了亏了,pay_kid, =,0,cash,>,20000,
25,看病,family,basic,180,normal,1000,0,0,孩子和别人打架受伤，找不到肇事者，自认倒霉,pay_kid,>,0,,,,
26,买火车票,family,basic,36,normal,600,0,0,好长时间没有回家了，这周末回家看看父母。做快铁，来回火车票也不便宜啊。什么时候有钱了，每个月回去一次。,,,,,,,
27,赔钱,family,basic,180,normal,800,0,0,孩子打架把别人打伤,pay_kid,>,0,,,,
28,赔钱,family,luxury,180,cashflow,5000,600,-1,孩子和别人打架，导致别人轻微残疾，法院判决每月赔一部分钱,pay_kid,>,0,,,,
29,亲戚来玩,family,basic,24,normal,2000,0,0,妈妈带亲戚来你家玩了几天，所有的费用都有你承担,,,,,,,
30,小孩出生,family,basic,360,normal,500,500,-1,哈哈，生了个建设银行,pay_kid, =,0,,,,pay_kid
31,小孩出生,family,basic,360,normal,500,500,-1,哈哈，生了个招商银行,pay_kid, =,0,,,,pay_kid
32,小孩出生,family,basic,360,normal,600,600,-1,哈哈，我前世的情人来找我了,pay_kid, =,0,,,,pay_kid
33,办健身卡,health,basic,12,normal,1000,0,0,你听同事建议，在月之剑办了一张游泳年卡,,,,,,,
34,办健身卡,health,dispensable,12,normal,3000,0,0,你听同事建议，在日之剑身中心办了一张年卡，可以打羽毛球，乒乓球，游泳，下决心每周至少去3次,,,,,,,
35,办健身卡,health,luxury,12,normal,10000,0,0,你听同事建议，在恒之剑身中心办了一张年卡，还请了健身教练,cash,>,10000,,,,
36,办美容卡,health,luxury,360,cashflow,300,300,-1,办理终生美容卡，每月支付,step,>,24,,,,
37,看心理医生,health,dispensable,360,cashflow,1000,300,-1,工作压力大导致抑郁症，每个月都要看心理医生,step,>,24,,,,
38,看心理医生,health,dispensable,360,cashflow,5000,600,-1,长期工作压力大，导致抑郁症，每个月都要看心理医生,step,>,24,,,,
39,买黄牛票,health,basic,180,normal,200,0,0,一个亲戚来我这里看专家门诊，要你去挂号。你排队3天都没有买到，只好从黄牛那里买。,,,,,,,
40,跑步,health,basic,12,normal,200,0,0,体检时医生告诉你肝脏脂肪浸润，再不控制就是脂肪肝了，你要锻炼了。同事健身都是办健身卡，你没有钱，买了套衣服，每天晚上在街上跑步,,,,,,,
41,游泳,health,basic,24,normal,200,0,0,和几个朋友约去游泳消暑，排了好长时间队不说，进了游泳池完全是下饺子啊。,,,,,,,
42,搬家被宰,household,basic,24,normal,500,0,0,从网上查到小众搬场的电话，结果来了七八个人，搬到一半说要加钱，没有办法，只好忍气吞声，到处都是骗子啊。,,,,,,,
43,理发店充值,household,dispensable,12,normal,2000,0,0,你去国内某连锁理发店剪头发，理发师不停的jjww，你面子薄，被忽悠充值钱,,,,,,,
44,买彩票,household,basic,24,cashflow,0,100,-1,上次买彩票中奖，于是每个月都买,,,,,,,
45,赔装修,household,dispensable,360,normal,15000,0,0,出差一周，不料家里水管爆了，把楼下的天花板和空调都淹了。没有办法，只好赔钱。自己家的地板也淹了，实在想不开，先凑合住吧。,step,>,24,,,,
46,钱被盗了,household,basic,360,normal,1000,0,0,"取钱忘拔银行卡了，结果钱被盗取了,还好钱不多",,,,,,,
47,钱被盗了,household,luxury,360,normal,20000,0,0,取钱忘拔银行卡了，结果钱被盗取了。,step,>,24,,,,
48,钱被偷了,household,basic,24,normal,200,0,0,菜市场买才钱包被偷了，还好钱不多，就是身份证银行卡都要重办了,,,,,,,
49,钱被偷了,household,dispensable,24,normal,800,0,0,准备去买手机，结果钱包被偷了。警察叔叔帮你把钱包找回来，还叫你送面锦旗。,,,,,,,
50,钱被偷了,household,luxury,24,normal,5000,0,0,刚取了钱，不小心被小偷订上了，损失不小,,,,,,,
51,钱被吞了,household,basic,36,normal,1000,0,0,从ATM上取钱被吞，打电话给银行客服，一个小时都还没有来。灵机一动，又打电话给客服说机器无缘无故吐钱，5分钟后银行人就到了。结果发现我骗他，又拍屁股走了,,,,,,,
52,手机充值,household,basic,24,normal,300,0,0,运营商办活动冲300送100。结果办了后发现每月有最低消费，根本用不了那么多钱，坑爹啊。,,,,,,,
53,喝喜酒,relationship,basic,12,normal,600,0,0,一个刚来不久的同事，发了请帖给你，不参加也不好意思。别人都二婚了，你连个对象都没有,,,,,,,
54,朋友聚会,relationship,basic,12,normal,2000,0,0,节假日朋友聚会，大家都先走了，只剩下你，所以就你买单,,,,,,,
